GTEX_ID	File_Name	Google_URL	AWS_URL	Argon_GUID	Calcium_GUID	Helium_GUID	Xenon_GUID	DOS_URI	md5sum	File size	Assignment
GTEX-13PVQ-0003-SM-7DRPY	GTEX-13PVQ-0003-SM-7DRPY.crai		s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-13PVQ-0003-SM-7DRPY.crai		dg.4503/b4336325-8595-4d92-8450-1628a388a578			dos://dg.4503/b4336325-8595-4d92-8450-1628a388a578	fc2b4ba8ad8dc43f6fd364602055093e	3032551	Xenon
GTEX-13PVQ-0003-SM-7DRPY	GTEX-13PVQ-0003-SM-7DRPY.cram		s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-13PVQ-0003-SM-7DRPY.cram		dg.4503/f4b78614-eb16-4e6e-8ff0-1a92280b1a43			dos://dg.4503/f4b78614-eb16-4e6e-8ff0-1a92280b1a43	bb6416246e0040d847e77e42145428b8	74694464625	Xenon
GTEX-13PVR-0003-SM-7DRNW	GTEX-13PVR-0003-SM-7DRNW.crai		s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-13PVR-0003-SM-7DRNW.crai		dg.4503/a1a020d9-1121-491a-bffa-9977f8c4893e			dos://dg.4503/a1a020d9-1121-491a-bffa-9977f8c4893e	f148a7fa5769dcae1d248b5b61a139a1	1351403	Xenon
GTEX-13PVR-0003-SM-7DRNW	GTEX-13PVR-0003-SM-7DRNW.cram		s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-13PVR-0003-SM-7DRNW.cram		dg.4503/79076a24-b19a-4318-9af7-9d2d1c182040			dos://dg.4503/79076a24-b19a-4318-9af7-9d2d1c182040	c349a0196c86e6df54c3b458d77b4a27	38001377568	Xenon
GTEX-13QBU-0003-SM-6WSD1	GTEX-13QBU-0003-SM-6WSD1.crai		s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-13QBU-0003-SM-6WSD1.crai		dg.4503/28192744-7b15-468f-a5da-4ab39a5c753f			dos://dg.4503/28192744-7b15-468f-a5da-4ab39a5c753f	34ee7b7c9f2a161a7de89139f77bd00b	1586691	Xenon
GTEX-13QBU-0003-SM-6WSD1	GTEX-13QBU-0003-SM-6WSD1.cram		s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-13QBU-0003-SM-6WSD1.cram		dg.4503/c7aa71be-a56d-4361-84d1-77ec7faba4b9			dos://dg.4503/c7aa71be-a56d-4361-84d1-77ec7faba4b9	79a6659d2c28b5c0d8c7911f51835dde	54303772501	Xenon
GTEX-13QIC-0004-SM-6WSCY	GTEX-13QIC-0004-SM-6WSCY.crai		s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-13QIC-0004-SM-6WSCY.crai		dg.4503/d45e6d72-aca5-479d-a250-a21d363df100			dos://dg.4503/d45e6d72-aca5-479d-a250-a21d363df100	77904febcc8421312670f712f31094a0	1625840	Xenon
GTEX-13QIC-0004-SM-6WSCY	GTEX-13QIC-0004-SM-6WSCY.cram		s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-13QIC-0004-SM-6WSCY.cram		dg.4503/8ffe0f69-0e6c-441b-9ddc-73f7f140610c			dos://dg.4503/8ffe0f69-0e6c-441b-9ddc-73f7f140610c	292fe51c84d0c789d3d027d18f2dd3b7	52442469965	Xenon
GTEX-13QJ3-0002-SM-6WSD6	GTEX-13QJ3-0002-SM-6WSD6.crai		s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-13QJ3-0002-SM-6WSD6.crai		dg.4503/74c6eb9f-7c60-4a63-83ac-ab9e2bc7c5f2			dos://dg.4503/74c6eb9f-7c60-4a63-83ac-ab9e2bc7c5f2	46456ef6c6c56331bd64e69997550676	1591118	Xenon
GTEX-13QJ3-0002-SM-6WSD6	GTEX-13QJ3-0002-SM-6WSD6.cram		s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-13QJ3-0002-SM-6WSD6.cram		dg.4503/a989daac-c88b-4563-96f2-258dbace2bb7			dos://dg.4503/a989daac-c88b-4563-96f2-258dbace2bb7	6ff91f61ab4db287b980f693b9da03e1	49040930627	Xenon
GTEX-13QJC-0003-SM-6WSAQ	GTEX-13QJC-0003-SM-6WSAQ.crai		s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-13QJC-0003-SM-6WSAQ.crai		dg.4503/e0f79f05-a846-4ba7-a519-ae7df3d4fa20			dos://dg.4503/e0f79f05-a846-4ba7-a519-ae7df3d4fa20	c2eaa72751d8e667a8ca74dc0313b6a6	1424950	Xenon
GTEX-13QJC-0003-SM-6WSAQ	GTEX-13QJC-0003-SM-6WSAQ.cram		s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-13QJC-0003-SM-6WSAQ.cram		dg.4503/1111bd06-d7eb-4952-8e5b-2fc87cfac5fa			dos://dg.4503/1111bd06-d7eb-4952-8e5b-2fc87cfac5fa	1484fc1b7afbe0e5e7a52395ff3b3ae1	50609219715	Xenon
GTEX-13RTJ-0003-SM-6WSCV	GTEX-13RTJ-0003-SM-6WSCV.crai		s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-13RTJ-0003-SM-6WSCV.crai		dg.4503/41b19639-56e6-44bc-9510-60adb8a49d89			dos://dg.4503/41b19639-56e6-44bc-9510-60adb8a49d89	c06d59d70aa1277b763da74a5a8561b9	1612066	Xenon
GTEX-13RTJ-0003-SM-6WSCV	GTEX-13RTJ-0003-SM-6WSCV.cram		s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-13RTJ-0003-SM-6WSCV.cram		dg.4503/5f61cda0-2be3-43c6-a0dd-565a951c8f39			dos://dg.4503/5f61cda0-2be3-43c6-a0dd-565a951c8f39	c98d51ee8ca2c565f9b188b29d0b8648	49799889302	Xenon
GTEX-13RTK-0003-SM-6WSCZ	GTEX-13RTK-0003-SM-6WSCZ.crai		s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-13RTK-0003-SM-6WSCZ.crai		dg.4503/59843e80-f804-4dd7-9d67-22808accf11d			dos://dg.4503/59843e80-f804-4dd7-9d67-22808accf11d	d011dcfb048e8c15cdc21bb2128715a7	1630477	Xenon
