This is a list of identifiers associated with the topmed public 107 data set.													
The original manifest was found here: gs://topmed-irc-share/public/TOPMed.public_samples.manifest.2017.11.30.txt													
													
NWD_ID	HapMap_1000G_ID	SEQ_CTR	Google_URL	S3_URL	Argon_GUID	Calcium_GUID	Helium_GUID	Xenon_GUID	DOS_URI	CRAI_URL	md5sum	Assignment	realigned_md5sum
NWD230091	HG01110	Broad	gs://topmed-irc-share/public/NWD230091.recab.cram.crai	s3://cgp-commons-public/topmed_open_access/d2249891-9ef7-5cf2-8382-5d572fc98c71/NWD230091.recab.cram.crai	ark:/99999/fk424HKxVQPz4n	dg.4503/82ca0d40-1d74-4da8-a059-49bc61de919c	ce0c5473cb334d5b9c43be8bd04a376c		dos://dos.commons.ucsc-cgp.org/82ca0d40-1d74-4da8-a059-49bc61de919c?version=2018-05-26T134315.729653Z	crai	f1620b1d31c626d06b3f33d6b0b1b86d	Argon	
NWD231092	HG01111	UW	gs://topmed-irc-share/public/NWD231092.recab.cram	s3://cgp-commons-public/topmed_open_access/c673d210-49f0-5fba-8085-390e1d3b8487/NWD231092.recab.cram	ark:/99999/fk418E07EZH764em	dg.4503/78c79fe0-8d02-46b5-836b-c5b37294a42f	1fa4879e731545fd81d881d783ae7cc2		dos://dos.commons.ucsc-cgp.org/78c79fe0-8d02-46b5-836b-c5b37294a42f?version=2018-05-26T133720.217164Z	cram	aa8ab38d2110c937bc22b7ac332f043a	Argon	
NWD231092	HG01111	UW	gs://topmed-irc-share/public/NWD231092.recab.cram.crai	s3://cgp-commons-public/topmed_open_access/c673d210-49f0-5fba-8085-390e1d3b8487/NWD231092.recab.cram.crai	ark:/99999/fk418E07EZH764em	dg.4503/1674f6ce-9688-4267-bbef-6e371c3e9d92	6cd7c47cfb9d45339e99244a5c049384		dos://dos.commons.ucsc-cgp.org/1674f6ce-9688-4267-bbef-6e371c3e9d92?version=2018-05-26T134315.794772Z	crai	38c314a163d8f7b8bae15ff3b0670c0b	Argon	
NWD234815	HG01111	WashU	gs://topmed-irc-share/public/NWD234815.recab.cram	s3://cgp-commons-public/topmed_open_access/233bc61e-e9e8-5f75-a8d9-189cfced36fe/NWD234815.recab.cram	ark:/99999/fk4138B43vqfsmnx	dg.4503/ff8c5664-a713-4b7e-b411-91261b1ac9c2	734c628ce1ee40f4902c407bae5f86d7		dos://dos.commons.ucsc-cgp.org/ff8c5664-a713-4b7e-b411-91261b1ac9c2?version=2018-05-26T133720.279530Z	cram	cc8ed08dbe1fa18dbc7bf02758197f65	Argon	
NWD234815	HG01111	WashU	gs://topmed-irc-share/public/NWD234815.recab.cram.crai	s3://cgp-commons-public/topmed_open_access/233bc61e-e9e8-5f75-a8d9-189cfced36fe/NWD234815.recab.cram.crai	ark:/99999/fk4138B43vqfsmnx	dg.4503/9df0ba81-d9c6-453b-9f6a-2724f2c47515	0fe28d6172c54a989668212aaf4236a9		dos://dos.commons.ucsc-cgp.org/9df0ba81-d9c6-453b-9f6a-2724f2c47515?version=2018-05-26T134315.857118Z	crai	3f2a2aa1c02ff801000489408ec957f9	Argon	
NWD245311	NA12878	Broad	gs://topmed-irc-share/public/NWD245311.recab.cram	s3://cgp-commons-public/topmed_open_access/fca3e67d-7a05-5b1b-8c21-b92d3b9396db/NWD245311.recab.cram	ark:/99999/fk4YH8cn3pqoqCI	dg.4503/dbf8ed06-d7b0-423f-a8a0-16429573748c	c1db188c3d5244088ca19ba940c5e13c		dos://dos.commons.ucsc-cgp.org/dbf8ed06-d7b0-423f-a8a0-16429573748c?version=2018-05-26T133720.340715Z	cram	b0ada611c49207bf60ed3a49cb5ab32e	Argon	
NWD245311	NA12878	Broad	gs://topmed-irc-share/public/NWD245311.recab.cram.crai	s3://cgp-commons-public/topmed_open_access/fca3e67d-7a05-5b1b-8c21-b92d3b9396db/NWD245311.recab.cram.crai	ark:/99999/fk4YH8cn3pqoqCI	dg.4503/37486b2a-90e2-4138-8416-555c6293501c	650a30ee951e4c32814ca21fb44031f3		dos://dos.commons.ucsc-cgp.org/37486b2a-90e2-4138-8416-555c6293501c?version=2018-05-26T134315.918872Z	crai	1a64ffc62b60849407799f167e0d034f	Argon	
NWD259170	HG01110	UW	gs://topmed-irc-share/public/NWD259170.recab.cram	s3://cgp-commons-public/topmed_open_access/0d6371a8-fc4f-5232-9660-e655903b17ea/NWD259170.recab.cram	ark:/99999/fk4U155qkwfGwQf	dg.4503/b7c6ad18-070a-4721-a464-e61a1137f539	11e17c6ae9ba4481a6083a3f08a48194		dos://dos.commons.ucsc-cgp.org/b7c6ad18-070a-4721-a464-e61a1137f539?version=2018-05-26T133720.406678Z	cram	3ab8a7f174d7778c682ec7a867a176d3	Argon	
NWD259170	HG01110	UW	gs://topmed-irc-share/public/NWD259170.recab.cram.crai	s3://cgp-commons-public/topmed_open_access/0d6371a8-fc4f-5232-9660-e655903b17ea/NWD259170.recab.cram.crai	ark:/99999/fk4U155qkwfGwQf	dg.4503/a4c4d483-4dc3-46a8-a2b9-3649b5a43584	d43f8272088541818b744d58391388b8		dos://dos.commons.ucsc-cgp.org/a4c4d483-4dc3-46a8-a2b9-3649b5a43584?version=2018-05-26T134315.978796Z	crai	b933d8fb97268c951e610b6dfa20924d	Argon	
NWD263474	NA19238	NYGC	gs://topmed-irc-share/public/NWD263474.recab.cram	s3://cgp-commons-public/topmed_open_access/098b40f5-34f7-5f1b-a0c4-4d12a5846b34/NWD263474.recab.cram	ark:/99999/fk41KLX1i43VjvIz	dg.4503/c86253ef-cd41-4aca-9af4-647050ed4e8d	f30b1c737f0d459fbdabc3316d699f1a		dos://dos.commons.ucsc-cgp.org/c86253ef-cd41-4aca-9af4-647050ed4e8d?version=2018-05-26T133720.469766Z	cram	3f1a86d7b6c49af3a0e3cb57e916cce3	Argon	
